,California,New York,Texas
1990-01-01,700.9,375.5,385.1
1990-02-01,705.9,378.9,390.0
1990-03-01,713.6,385.8,394.8
1990-04-01,719.1,391.4,405.5
1990-05-01,725.5,406.3,412.8
1990-06-01,733.7,414.9,419.8
1990-07-01,736.9,405.5,419.2
1990-08-01,739.0,405.9,422.3
1990-09-01,737.7,407.7,416.5
1990-10-01,721.5,396.1,414.1
1990-11-01,722.3,393.7,412.6
1990-12-01,723.2,393.7,411.3
1991-01-01,708.8,363.9,399.8
1991-02-01,724.5,367.7,407.4
1991-03-01,730.6,373.6,413.6
1991-04-01,759.0,374.3,422.2
1991-05-01,769.6,386.2,429.5
1991-06-01,774.0,394.5,433.5
1991-07-01,768.1,383.8,430.7
1991-08-01,769.5,385.2,433.2
1991-09-01,768.6,384.5,430.5
1991-10-01,757.6,377.9,424.0
1991-11-01,758.0,374.6,424.4
1991-12-01,758.8,375.9,424.9
1992-01-01,726.5,342.7,417.5
1992-02-01,733.2,345.7,423.8
1992-03-01,741.3,350.2,430.3
1992-04-01,758.5,358.8,436.8
1992-05-01,766.5,372.8,442.3
1992-06-01,768.6,378.9,444.6
1992-07-01,777.6,373.3,449.1
1992-08-01,779.2,373.1,453.4
1992-09-01,778.7,374.0,448.0
1992-10-01,768.0,368.0,451.0
1992-11-01,767.5,365.1,453.0
1992-12-01,768.0,364.5,451.1
1993-01-01,744.6,344.3,449.3
1993-02-01,747.9,349.3,459.4
1993-03-01,753.9,353.3,466.7
1993-04-01,764.2,360.3,473.6
1993-05-01,778.6,377.3,471.6
1993-06-01,782.9,384.9,477.1
1993-07-01,780.2,378.6,473.4
1993-08-01,785.4,380.9,479.3
1993-09-01,786.4,382.6,476.5
1993-10-01,773.5,374.8,471.4
1993-11-01,773.5,372.0,469.8
1993-12-01,779.2,375.0,471.6
1994-01-01,759.6,349.6,462.4
1994-02-01,767.9,350.4,467.7
1994-03-01,772.9,358.6,476.6
1994-04-01,784.3,372.0,490.5
1994-05-01,796.8,385.1,492.2
1994-06-01,803.5,394.8,495.2
1994-07-01,797.8,388.6,502.0
1994-08-01,801.4,390.0,505.8
1994-09-01,803.8,391.3,499.7
1994-10-01,792.3,384.9,503.7
1994-11-01,793.3,382.3,504.7
1994-12-01,798.8,383.6,505.5
1995-01-01,779.2,360.6,497.1
1995-02-01,787.8,364.0,504.5
1995-03-01,798.0,372.1,511.4
1995-04-01,806.6,377.7,518.4
1995-05-01,818.9,392.8,526.1
1995-06-01,826.9,403.7,531.2
1995-07-01,830.4,396.5,528.4
1995-08-01,835.3,397.6,530.8
1995-09-01,838.0,400.2,527.0
1995-10-01,822.2,389.1,520.9
1995-11-01,827.3,390.0,519.7
1995-12-01,833.6,391.1,521.0
1996-01-01,814.3,362.5,508.2
1996-02-01,826.0,369.1,513.9
1996-03-01,836.4,375.2,522.3
1996-04-01,839.7,380.6,534.1
1996-05-01,855.7,399.0,541.9
1996-06-01,851.8,407.7,544.8
1996-07-01,859.4,398.9,540.5
1996-08-01,863.9,399.1,543.8
1996-09-01,861.0,400.1,538.5
1996-10-01,856.3,396.4,539.9
1996-11-01,858.1,393.8,540.7
1996-12-01,864.8,397.1,540.4
1997-01-01,826.8,372.1,537.1
1997-02-01,837.4,376.8,548.1
1997-03-01,847.7,383.6,559.1
1997-04-01,855.9,391.7,564.1
1997-05-01,869.8,406.5,573.2
1997-06-01,875.8,416.5,579.6
1997-07-01,864.7,408.9,574.2
1997-08-01,873.0,410.0,579.1
1997-09-01,870.4,412.1,577.4
1997-10-01,855.4,406.3,570.8
1997-11-01,853.9,405.7,571.2
1997-12-01,856.0,407.8,572.3
1998-01-01,836.7,380.8,560.2
1998-02-01,844.6,388.1,568.7
1998-03-01,852.6,393.6,577.2
1998-04-01,864.9,397.6,585.9
1998-05-01,879.2,417.2,592.2
1998-06-01,888.1,425.3,598.3
1998-07-01,882.1,418.0,595.6
1998-08-01,887.5,417.6,601.0
1998-09-01,889.9,419.8,598.6
1998-10-01,871.2,415.7,587.5
1998-11-01,873.5,413.2,588.0
1998-12-01,881.4,416.8,593.2
1999-01-01,855.8,392.1,580.5
1999-02-01,868.7,399.3,589.3
1999-03-01,879.3,407.7,602.1
1999-04-01,887.1,417.7,610.4
1999-05-01,897.4,431.3,616.2
1999-06-01,903.5,439.8,624.1
1999-07-01,908.4,427.2,617.3
1999-08-01,909.0,428.5,621.2
1999-09-01,911.1,428.9,618.9
1999-10-01,903.4,428.6,615.9
1999-11-01,902.3,429.4,616.3
1999-12-01,908.6,432.6,618.1
2000-01-01,882.9,401.5,606.8
2000-02-01,897.4,409.0,616.2
2000-03-01,909.8,414.4,628.4
2000-04-01,914.0,425.9,632.7
2000-05-01,923.8,436.2,638.2
2000-06-01,933.8,445.5,644.9
2000-07-01,937.6,441.1,637.9
2000-08-01,943.5,442.4,642.8
2000-09-01,943.5,442.5,640.2
2000-10-01,929.0,437.6,634.2
2000-11-01,928.1,437.4,634.0
2000-12-01,936.1,439.4,636.7
2001-01-01,914.8,408.7,621.9
2001-02-01,928.5,413.5,632.9
2001-03-01,940.1,418.5,644.7
2001-04-01,942.8,423.3,651.0
2001-05-01,953.4,443.2,656.6
2001-06-01,961.7,452.2,661.0
2001-07-01,957.7,441.7,655.0
2001-08-01,960.0,444.3,660.9
2001-09-01,953.3,439.8,653.8
2001-10-01,947.3,425.7,645.7
2001-11-01,947.1,427.3,645.2
2001-12-01,948.9,429.6,647.4
2002-01-01,922.3,404.2,633.8
2002-02-01,932.8,410.0,643.1
2002-03-01,944.1,418.4,655.0
2002-04-01,964.1,428.2,661.3
2002-05-01,979.7,444.4,669.1
2002-06-01,985.7,450.7,671.5
2002-07-01,969.2,445.2,665.4
2002-08-01,975.5,448.2,671.0
2002-09-01,973.9,446.7,668.0
2002-10-01,964.8,441.6,660.1
2002-11-01,964.3,440.1,660.7
2002-12-01,970.7,441.4,662.3
2003-01-01,939.7,416.5,650.7
2003-02-01,950.3,420.4,656.8
2003-03-01,960.0,424.4,667.6
2003-04-01,966.6,433.6,673.0
2003-05-01,977.5,448.9,678.8
2003-06-01,987.6,457.5,683.8
2003-07-01,981.1,456.3,677.4
2003-08-01,987.5,454.6,683.5
2003-09-01,988.4,455.8,679.9
2003-10-01,982.1,449.9,675.2
2003-11-01,983.3,449.5,675.1
2003-12-01,989.0,448.7,677.4
2004-01-01,968.9,423.4,664.9
2004-02-01,980.6,426.3,672.4
2004-03-01,991.7,433.7,685.4
2004-04-01,993.2,440.8,691.7
2004-05-01,1006.7,457.8,697.5
2004-06-01,1011.2,467.6,702.1
2004-07-01,1014.2,468.5,697.5
2004-08-01,1019.3,468.2,702.2
2004-09-01,1021.5,466.7,698.8
2004-10-01,1013.5,461.6,692.2
2004-11-01,1011.0,458.2,692.3
2004-12-01,1018.9,461.3,694.3
2005-01-01,990.4,431.4,683.5
2005-02-01,1000.9,437.6,691.7
2005-03-01,1016.4,444.0,705.0
2005-04-01,1030.7,456.7,716.7
2005-05-01,1040.6,468.9,721.8
2005-06-01,1050.3,479.5,723.6
2005-07-01,1046.1,471.3,718.1
2005-08-01,1051.1,472.8,721.1
2005-09-01,1052.4,472.9,716.1
2005-10-01,1044.9,464.4,707.8
2005-11-01,1046.4,463.8,710.6
2005-12-01,1054.0,463.5,712.1
2006-01-01,1026.4,434.7,705.7
2006-02-01,1042.5,441.5,714.9
2006-03-01,1055.1,450.3,729.9
2006-04-01,1060.3,456.7,739.1
2006-05-01,1074.6,474.7,747.3
2006-06-01,1084.1,483.4,751.7
2006-07-01,1077.4,479.5,746.6
2006-08-01,1086.3,478.9,752.3
2006-09-01,1085.8,478.5,751.1
2006-10-01,1077.5,472.9,742.1
2006-11-01,1080.6,476.3,743.5
2006-12-01,1088.2,478.4,747.4
2007-01-01,1059.5,451.6,733.2
2007-02-01,1072.5,457.4,745.0
2007-03-01,1086.8,463.1,761.4
2007-04-01,1093.3,473.6,774.7
2007-05-01,1107.3,492.3,783.0
2007-06-01,1114.8,500.1,787.6
2007-07-01,1110.1,495.5,784.0
2007-08-01,1114.9,496.1,788.0
2007-09-01,1114.0,494.2,782.6
2007-10-01,1106.5,491.4,777.6
2007-11-01,1106.2,491.3,778.7
2007-12-01,1108.6,489.6,782.0
2008-01-01,1081.5,463.8,768.3
2008-02-01,1091.4,470.5,778.4
2008-03-01,1101.7,476.0,790.1
2008-04-01,1112.3,488.4,802.9
2008-05-01,1118.4,502.9,808.5
2008-06-01,1125.6,510.8,809.9
2008-07-01,1120.9,505.2,802.8
2008-08-01,1121.1,504.7,804.7
2008-09-01,1115.4,503.5,794.0
2008-10-01,1099.3,498.9,791.6
2008-11-01,1090.2,495.0,792.4
2008-12-01,1087.2,492.2,794.7
2009-01-01,1051.6,465.4,778.2
2009-02-01,1054.1,469.8,787.3
2009-03-01,1055.4,474.2,800.5
2009-04-01,1061.9,482.7,806.8
2009-05-01,1073.1,502.6,813.4
2009-06-01,1073.9,509.7,813.4
2009-07-01,1066.9,506.7,803.1
2009-08-01,1066.2,506.1,803.2
2009-09-01,1061.5,510.5,797.0
2009-10-01,1057.1,504.6,784.8
2009-11-01,1050.0,500.1,784.7
2009-12-01,1048.7,499.7,783.9
2010-01-01,1022.8,475.3,764.9
2010-02-01,1028.7,482.5,775.3
2010-03-01,1037.6,489.3,790.4
2010-04-01,1058.3,508.1,799.3
2010-05-01,1068.9,522.0,808.5
2010-06-01,1073.7,528.9,810.1
2010-07-01,1073.7,527.4,799.4
2010-08-01,1078.4,529.5,804.5
2010-09-01,1079.5,529.7,805.5
2010-10-01,1076.4,527.4,802.0
2010-11-01,1073.2,524.9,805.5
2010-12-01,1077.1,523.7,806.8
2011-01-01,1050.2,500.2,789.0
2011-02-01,1059.6,508.7,797.0
2011-03-01,1070.0,515.2,820.6
2011-04-01,1082.6,532.7,830.9
2011-05-01,1094.5,549.1,839.6
2011-06-01,1097.4,558.3,842.2
2011-07-01,1100.4,553.6,831.2
2011-08-01,1105.1,554.5,837.4
2011-09-01,1107.6,557.4,838.4
2011-10-01,1102.5,552.4,832.0
2011-11-01,1104.4,551.8,835.9
2011-12-01,1104.4,552.1,835.7
2012-01-01,1089.2,523.4,820.4
2012-02-01,1100.1,537.9,834.0
2012-03-01,1112.1,544.7,853.4
2012-04-01,1130.5,554.5,867.7
2012-05-01,1146.8,576.5,877.9
2012-06-01,1154.1,587.2,884.5
2012-07-01,1154.2,582.9,870.6
2012-08-01,1162.8,587.2,879.0
2012-09-01,1161.9,588.1,881.3
2012-10-01,1156.1,584.3,874.5
2012-11-01,1156.9,573.6,879.2
2012-12-01,1159.5,578.6,884.0
2013-01-01,1142.1,547.4,865.7
2013-02-01,1157.7,557.8,882.9
2013-03-01,1172.6,566.2,900.0
2013-04-01,1189.3,584.7,912.9
2013-05-01,1207.8,605.0,924.4
2013-06-01,1215.1,618.1,928.5
2013-07-01,1216.7,608.4,918.8
2013-08-01,1225.2,609.7,923.0
2013-09-01,1223.8,612.5,922.1
2013-10-01,1223.8,611.1,913.9
2013-11-01,1227.6,609.3,918.1
2013-12-01,1230.0,607.2,917.2
2014-01-01,1214.6,575.1,903.1
2014-02-01,1231.2,585.5,917.5
2014-03-01,1245.1,592.2,937.1
2014-04-01,1259.5,607.6,952.2
2014-05-01,1275.3,631.6,961.0
2014-06-01,1282.1,641.0,968.2
2014-07-01,1283.3,631.8,955.9
2014-08-01,1295.4,631.6,958.1
2014-09-01,1290.5,632.9,960.8
2014-10-01,1285.0,633.6,956.4
2014-11-01,1286.0,630.0,958.1
2014-12-01,1284.6,628.8,958.5
2015-01-01,1268.3,598.4,942.2
2015-02-01,1286.9,606.8,959.9
2015-03-01,1299.2,613.1,973.5
2015-04-01,1314.7,630.7,993.0
2015-05-01,1329.4,654.5,1004.7
2015-06-01,1334.8,661.1,1012.9
2015-07-01,1340.3,656.3,1005.6
2015-08-01,1347.8,655.5,1008.9
2015-09-01,1344.8,657.2,1009.8
2015-10-01,1346.3,654.2,1005.9
2015-11-01,1344.0,649.8,1006.9
2015-12-01,1345.2,649.7,1007.1
2016-01-01,1326.7,614.3,994.8
2016-02-01,1343.3,622.7,1011.4
2016-03-01,1353.8,632.3,1024.1
2016-04-01,1375.7,653.3,1039.6
2016-05-01,1385.7,666.5,1049.4
2016-06-01,1390.4,677.2,1053.0
2016-07-01,1394.7,672.1,1041.2
2016-08-01,1398.9,671.1,1045.6
2016-09-01,1396.6,671.5,1043.2
2016-10-01,1397.2,665.2,1036.1
2016-11-01,1394.6,662.9,1037.9
2016-12-01,1390.4,662.8,1035.2
2017-01-01,1368.7,631.7,1021.5
2017-02-01,1386.1,641.8,1033.7
2017-03-01,1402.8,648.4,1050.9
2017-04-01,1417.4,663.8,1059.3
2017-05-01,1432.0,689.1,1070.4
2017-06-01,1437.8,699.8,1072.9
2017-07-01,1435.6,692.2,1066.1
2017-08-01,1436.2,694.3,1069.4
2017-09-01,1431.8,691.4,1058.4
2017-10-01,1431.3,688.5,1060.1
2017-11-01,1428.2,683.9,1060.3
2017-12-01,1423.8,681.8,1062.2
2018-01-01,1398.4,645.7,1046.4
2018-02-01,1417.4,653.0,1060.6
2018-03-01,1428.4,659.5,1077.3
2018-04-01,1444.9,673.7,1086.7
2018-05-01,1457.3,692.6,1094.9
2018-06-01,1458.8,704.5,1100.5
2018-07-01,1461.1,694.8,1095.5
2018-08-01,1466.0,692.8,1102.2
2018-09-01,1456.7,689.7,1090.7
2018-10-01,1452.8,685.4,1090.5
2018-11-01,1449.3,678.8,1087.6
2018-12-01,1448.8,680.3,1092.1
2019-01-01,1424.5,647.6,1073.9
2019-02-01,1442.8,653.1,1091.2
2019-03-01,1456.6,661.6,1103.7
2019-04-01,1470.4,674.9,1115.9
2019-05-01,1482.5,690.6,1122.9
2019-06-01,1484.2,701.5,1126.8
2019-07-01,1482.5,695.0,1125.5
2019-08-01,1484.9,691.7,1129.0
2019-09-01,1476.7,689.7,1120.1
2019-10-01,1477.6,682.9,1119.0
2019-11-01,1477.5,678.8,1120.1
2019-12-01,1470.3,678.8,1120.7
2020-01-01,1444.5,646.4,1101.2
2020-02-01,1459.8,655.7,1114.3
2020-03-01,1414.0,618.6,1096.7
2020-04-01,786.6,236.9,710.2
2020-05-01,877.1,309.1,856.6
2020-06-01,1042.7,360.4,941.4
2020-07-01,1039.5,421.2,920.2
2020-08-01,1043.7,453.3,935.7
2020-09-01,1072.9,467.1,953.9
2020-10-01,1116.5,482.3,984.6
2020-11-01,1125.0,473.4,992.1
2020-12-01,1037.9,442.6,997.4
2021-01-01,950.7,407.1,982.9
2021-02-01,1073.7,437.8,986.9
2021-03-01,1124.4,463.0,1020.0
2021-04-01,1196.9,496.7,1046.0
2021-05-01,1239.9,527.5,1064.7
2021-06-01,1279.7,559.6,1083.7
2021-07-01,1327.1,576.3,1087.6
2021-08-01,1342.9,582.9,1088.6
2021-09-01,1340.5,586.3,1086.2
2021-10-01,1363.0,598.7,1097.1
2021-11-01,1369.6,600.2,1099.8
2021-12-01,1374.5,602.9,1106.8
2022-01-01,1339.6,565.7,1083.2
2022-02-01,1374.9,583.5,1102.3
2022-03-01,1396.2,595.8,1116.8
2022-04-01,1418.3,610.1,1135.9
2022-05-01,1436.0,638.1,1146.6
2022-06-01,1447.7,658.0,1156.3
2022-07-01,1452.9,655.5,1157.7
2022-08-01,1458.8,653.6,1163.3
2022-09-01,1448.9,651.9,1156.1
2022-10-01,1449.5,648.3,1155.1
2022-11-01,1449.0,646.4,1158.6
2022-12-01,1443.0,644.0,1157.0
2023-01-01,1413.0,618.8,1155.1
2023-02-01,1434.8,627.0,1169.1
2023-03-01,1450.1,635.5,1185.8
2023-04-01,1459.6,644.5,1191.2
2023-05-01,1478.0,671.1,1203.1
2023-06-01,1482.8,689.9,1215.4
2023-07-01,1484.0,679.5,1205.2
2023-08-01,1487.9,679.2,1209.2
2023-09-01,1476.1,675.7,1200.6
2023-10-01,1470.3,665.6,1199.1
2023-11-01,1463.8,662.6,1201.8
2023-12-01,1458.0,664.3,1202.7
2024-01-01,1437.7,629.5,1176.8
2024-02-01,1435.7,636.9,1186.6
2024-03-01,1439.2,649.1,1201.0
2024-04-01,1457.8,660.0,1214.5
2024-05-01,1468.5,679.2,1224.1
2024-06-01,1460.1,694.2,1223.5
2024-07-01,1462.0,681.6,1205.7
2024-08-01,1459.2,678.1,1215.8
2024-09-01,1441.0,677.1,1202.4
2024-10-01,1442.7,672.7,1208.0
2024-11-01,1439.3,666.2,1209.3
2024-12-01,1438.0,668.1,1207.6
2025-01-01,1405.4,643.1,1186.5
2025-02-01,1409.9,643.3,1196.9
2025-03-01,1409.7,649.5,1201.2
2025-04-01,1419.7,660.7,1215.2
2025-05-01,1439.6,685.2,1229.7
